nbhd_id,chittagong,comilla_south,comilla_north,naryanganj_east,narsingdi,dhamrai,bhaluka,gazipur_north,main,x_1,x_2,x_3,x_4,x_5,x_6,y_1,y_2,y_3,y_4,y_5,y_6,cent_long,cent_lat,strata_main,ineligible,main_sample,backup
651,0,0,0,0,0,0,0,1,0,90.441513,90.431686,90.426743,90.431625,90.441452,90.446396,24.14802,24.147987,24.155779,24.163607,24.163639,24.155846,90.436569,24.155813,-996,0,1,
652,0,0,0,0,0,0,0,1,0,90.456291,90.446465,90.441513,90.446396,90.45623,90.461174,24.140261,24.140228,24.14802,24.155846,24.15588,24.148087,90.451347,24.148054,-996,0,0,
653,0,0,0,0,0,0,0,1,0,90.382477,90.37265,90.367699,90.372581,90.382408,90.38736,24.163429,24.163391,24.171183,24.17901,24.179047,24.171257,90.377533,24.171221,-996,0,0,
654,0,0,0,0,0,0,0,1,0,90.397255,90.387428,90.382477,90.38736,90.397186,90.402138,24.155674,24.155638,24.163429,24.171257,24.171293,24.163502,90.392311,24.163465,-996,0,0,
655,0,0,0,0,0,0,0,1,0,90.411964,90.402138,90.397186,90.402069,90.411903,90.416847,24.163536,24.163502,24.171293,24.179119,24.179155,24.171364,90.407021,24.171329,-996,0,0,
656,0,0,0,0,0,0,0,1,0,90.426743,90.416916,90.411964,90.416847,90.426674,90.431625,24.155779,24.155745,24.163536,24.171364,24.171398,24.163607,90.421799,24.163572,-996,0,0,
657,0,0,0,0,0,0,0,1,0,90.441452,90.431625,90.426674,90.431557,90.441391,90.446335,24.163639,24.163607,24.171398,24.179224,24.179258,24.171465,90.436508,24.171432,-996,0,0,
658,0,0,0,0,0,0,0,1,0,90.45623,90.446396,90.441452,90.446335,90.456169,90.461113,24.15588,24.155846,24.163639,24.171465,24.171497,24.163704,90.451279,24.163673,-996,0,0,
659,0,0,0,0,0,0,0,1,0,90.47094,90.461113,90.456169,90.461052,90.470879,90.475822,24.163736,24.163704,24.171497,24.179323,24.179356,24.17156,90.465996,24.17153,-996,0,0,
660,0,0,0,0,0,0,0,1,0,90.48571,90.475883,90.47094,90.475822,90.485657,90.490601,24.155973,24.155943,24.163736,24.17156,24.171591,24.163797,90.480766,24.163767,-996,0,0,
661,0,0,0,0,0,0,0,1,0,90.352921,90.343086,90.338135,90.34301,90.352844,90.357796,24.178934,24.178894,24.186684,24.194513,24.194551,24.186762,90.347969,24.186724,-996,0,0,
662,0,0,0,0,0,0,0,1,0,90.367699,90.357872,90.352921,90.357796,90.36763,90.372581,24.171183,24.171143,24.178934,24.186762,24.1868,24.17901,90.362747,24.178972,-996,0,0,
663,0,0,0,0,0,0,0,1,0,90.382408,90.372581,90.36763,90.372505,90.382339,90.387291,24.179047,24.17901,24.1868,24.194628,24.194666,24.186874,90.377457,24.186838,-996,0,0,
664,0,0,0,0,0,0,0,1,0,90.397186,90.38736,90.382408,90.387291,90.397118,90.402069,24.171293,24.171257,24.179047,24.186874,24.186911,24.179119,90.392242,24.179085,-996,0,0,
665,0,0,0,0,0,0,0,1,0,90.411903,90.402069,90.397118,90.402,90.411835,90.416779,24.179155,24.179119,24.186911,24.194738,24.194775,24.186981,90.406952,24.186947,-996,0,0,
666,0,0,0,0,0,0,0,1,0,90.426674,90.416847,90.411903,90.416779,90.426613,90.431557,24.171398,24.171364,24.179155,24.186981,24.187017,24.179224,90.42173,24.179192,-996,0,0,
667,0,0,0,0,0,0,0,1,0,90.441391,90.431557,90.426613,90.431496,90.44133,90.446274,24.179258,24.179224,24.187017,24.194843,24.194876,24.187084,90.43644,24.187052,-996,0,0,
668,0,0,0,0,0,0,0,1,0,90.456169,90.446335,90.441391,90.446274,90.456108,90.461052,24.171497,24.171465,24.179258,24.187084,24.187117,24.179323,90.451218,24.179291,-996,0,0,
669,0,0,0,0,0,0,0,1,0,90.470879,90.461052,90.456108,90.460991,90.470818,90.475769,24.179356,24.179323,24.187117,24.194942,24.194973,24.18718,90.465935,24.187149,-996,0,0,
670,0,0,0,0,0,0,0,1,0,90.485657,90.475822,90.470879,90.475769,90.485596,90.49054,24.171591,24.17156,24.179356,24.18718,24.18721,24.179417,90.480713,24.179386,-996,0,0,3
671,0,0,0,0,0,0,0,1,0,90.500374,90.49054,90.485596,90.490486,90.500313,90.505257,24.179445,24.179417,24.18721,24.195034,24.195065,24.187269,90.49543,24.187241,-996,0,0,
672,0,0,0,0,0,0,0,1,0,90.352844,90.34301,90.338058,90.342941,90.352768,90.357727,24.194551,24.194513,24.202301,24.210131,24.210171,24.202381,90.347893,24.202341,-996,0,0,
673,0,0,0,0,0,0,0,1,0,90.36763,90.357796,90.352844,90.357727,90.367554,90.372505,24.1868,24.186762,24.194551,24.202381,24.202419,24.194628,90.362679,24.194592,-996,0,0,
